Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level,Foul Points,Tech Foul Points,Alliance Color,Key creation successful!
10,240,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,Light,Park,1,0,0,red,
11,7145,Right of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Heavy,None,Park,1,0,4,blue,
11,5695,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,0,0,red,
12,4758,Right of Goal,1,2,0,0,0,0,0,None,Goal Zone,2,0,0,0,0,0,0,0,None,None,None,0,3,0,blue,
7,7692,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,None,0,1,0,blue,
8,4854,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,Park,1,2,0,blue,
9,4768,Inline with Goal,1,0,0,3,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Hang,0,0,1,blue,
10,5498,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,Heavy,Park,1,0,0,blue,
11,7232,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,0,4,blue,
12,7191,Inline with Opposing Trench,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Light,None,Hang,0,3,0,blue,
13,8179,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,1,0,0,0,0,0,None,None,Hang,0,0,0,blue,
13,548,Inline with Goal,1,0,0,2,0,0,0,None,Goal Side Middle,0,9,0,0,0,0,0,0,None,None,Hang,0,0,0,blue,
7,4130,Inline with Alliance Trench,1,0,0,2,0,0,0,None,Alliance Trench,0,0,0,0,0,0,0,0,Light,None,Hang,1,0,0,red,
8,6120,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,7,0,0,0,0,0,None,None,Park,1,0,0,red,
9,8280,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,Park,1,0,2,red,
10,2591,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,None,1,0,0,red,
11,1481,Inline with Goal,1,0,0,1,0,0,0,None,Goal Side Middle,0,5,2,0,0,0,0,0,None,None,Hang,1,0,0,red,
